"gsize","cpugpu","device","output_bytes","device_mean","transfer_mean","machine","hostcode_mean","devicetransfer","kernel","input_bytes"
"1000","cpu","IntelXeonCPU","48000","0.224228045","0.1268778834210205","gold2","0.3511059284210205","0.3511059284210205","amd-app-sdk-3.0-BinomialOption-binomial_options","48004"
"1000","cpu","CPU","48000","1.676285055","1.375010225456543","silver1","3.051295280456543","3.051295280456543","amd-app-sdk-3.0-BinomialOption-binomial_options","48004"
"1000","cpu","CPU","48000","0.89118239","1.4458537428125","epyc7","2.3370361328125","2.3370361328125","amd-app-sdk-3.0-BinomialOption-binomial_options","48004"
"1000","cpu","CPU","48000","0.25365639","1.2331826660150147","dungani","1.4868390560150146","1.4868390560150146","amd-app-sdk-3.0-BinomialOption-binomial_options","48004"
"1000","cpu","IntelXeonCPU","8000","0.0963491","0.1066130601104736","gold2","0.2029621601104736","0.2029621601104735","amd-app-sdk-3.0-PrefixSum-group_prefixSum","8008"
"1000","cpu","CPU","8000","0.88991416","2.123877877963867","silver1","3.013792037963867","3.013792037963867","amd-app-sdk-3.0-PrefixSum-group_prefixSum","8008"
"1000","cpu","CPU","8000","0.37702452","1.6595183724560547","epyc7","2.0365428924560547","2.0365428924560547","amd-app-sdk-3.0-PrefixSum-group_prefixSum","8008"
"1000","cpu","CPU","8000","0.027628475","1.401894754598999","dungani","1.429523229598999","1.429523229598999","amd-app-sdk-3.0-PrefixSum-group_prefixSum","8008"
"1000","cpu","IntelXeonCPU","32000","0.081461225","0.087380852255249","gold2","0.168842077255249","0.168842077255249","amd-app-sdk-3.0-Reduction-reduce","32000"
"1000","cpu","CPU","32000","0.463660115","0.911450034383545","silver1","1.375110149383545","1.375110149383545","amd-app-sdk-3.0-Reduction-reduce","32000"
"1000","cpu","CPU","32000","0.332656745","0.9077790936993408","epyc7","1.2404358386993408","1.2404358386993408","amd-app-sdk-3.0-Reduction-reduce","32000"
"1000","cpu","CPU","32000","0.015378635","0.694995481897583","dungani","0.710374116897583","0.710374116897583","amd-app-sdk-3.0-Reduction-reduce","32000"
"1000","cpu","IntelXeonCPU","4000","0.05734455","0.0659571944610595","gold2","0.1233017444610595","0.1233017444610595","amd-app-sdk-3.0-ScanLargeArrays-blockAddition","8000"
"1000","cpu","CPU","4000","0.54083952","0.6060957045330811","silver1","1.146935224533081","1.146935224533081","amd-app-sdk-3.0-ScanLargeArrays-blockAddition","8000"
"1000","cpu","CPU","4000","0.38813599","0.5205630456445313","epyc7","0.9086990356445312","0.9086990356445312","amd-app-sdk-3.0-ScanLargeArrays-blockAddition","8000"
"1000","cpu","CPU","4000","0.01050281","0.5815846972479248","dungani","0.5920875072479248","0.5920875072479248","amd-app-sdk-3.0-ScanLargeArrays-blockAddition","8000"
"3000","cpu","IntelXeonCPU","12000","0.0603675599999999","0.0678229574255371","gold2","0.1281905174255371","0.128190517425537","amd-app-sdk-3.0-ScanLargeArrays-blockAddition","24000"
